n,penalty,F_thr,nsteps,T_0,T_f,t_star,F_at_t_star,n_evals
2,1,0.9,2000,15,1500,85.0,0.900795083690084,12
2,5,0.9,2000,15,1500,82.0,0.9002800131330349,12
2,10,0.9,2000,15,1500,91.0,0.9005694564475265,13
2,15,0.9,2000,15,1500,100.0,0.9023450556237718,13
2,20,0.9,2000,15,1500,108.0,0.9022403223881494,12
2,30,0.9,2000,15,1500,120.0,0.8989137712644188,13
3,1,0.9,2000,15,1500,1384.0,0.9000776131119289,12
3,5,0.9,2000,15,1500,789.0,0.9000668292739294,12
3,10,0.9,2000,15,1500,657.0,0.8999213801143009,13
3,15,0.9,2000,15,1500,607.0,0.9001619576001246,13
3,20,0.9,2000,15,1500,581.0,0.8997389162959734,13
3,30,0.9,2000,15,1500,564.0,0.900076419381338,13
5,10,0.9,2000,15,1500,1472.0,0.8998960247321818,13
5,15,0.9,2000,15,1500,1338.0,0.8999541074713665,12
5,20,0.9,2000,15,1500,1282.0,0.9001099440025915,12
